date,text,place
Fri Jul 22 20:58:31 +0000 2016,RT @StevStiffler: Worried about Pokemon GO drivers? Wait for Mario Kart GO... https://t.co/rUJA4E4S7k,NA
Fri Jul 22 20:58:31 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:31 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:31 +0000 2016,"RT @wtylerallen: I hate that folks speak out against pop culture, Kim K feuds and Pokemon Go like you can't enjoy all these things AND be s?",NA
Fri Jul 22 20:58:32 +0000 2016,"@PokeGo_France youtube comment avoir pokemon go 
5 min",NA
Fri Jul 22 20:58:32 +0000 2016,"Another week, another astounding pair of victories for Niantic and Nintendo's 'Pokemon GO.' https://t.co/7n4bZcj5z1",NA
Fri Jul 22 20:58:33 +0000 2016,Plan for tomorrow water type hunting in Pokemon go at Preston park Eaglescliffe #ponemongo #magikarphunting,NA
Fri Jul 22 20:58:33 +0000 2016,RT @verface: according to Pokemon GO my workplace storage is teeming with Clefairy https://t.co/oHROQmCcpN,NA
Fri Jul 22 20:58:33 +0000 2016,"RT @DougBenson: ""I've bagged about 50 of those motherfuckers."" -Danny McBride, when asked about Pokemon Go at @screenjunkies panel #SDCC2016",NA
Fri Jul 22 20:58:34 +0000 2016,"RT @CalgunsFdn: If you play #PokemonGo, consider getting a #CCW. It's getting scary out there. https://t.co/KoOVkMNea9 #2A https://t.co/Mk6?",NA
Fri Jul 22 20:58:34 +0000 2016,"RT @GavinReacts: ""Are you trying to take a picture""
""No, I'm playing Pokemon go"" https://t.co/O6c82a3RR2",NA
Fri Jul 22 20:58:34 +0000 2016,"RT @PokemonGoPlay: FREE 5,200 POKECOINS - POKEMON GO! #PokemonGo

TO ENTER JUST:
1. FOLLOW
2. RETWEET

+ FREE &gt; https://t.co/3phOoyxgQb htt?",NA
Fri Jul 22 20:58:34 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:34 +0000 2016,"RT @MichelleHux: I love how all these ""good cop"" stories the media keeps feeding us feature cops not doing their job lmfao https://t.co/9ZE?",NA
Fri Jul 22 20:58:34 +0000 2016,"RT @pcarroll47: @randygdub trump: BLOOD ALONE MOVES THE WHEELS OF HISTORY
Hillary: we are pokemon go-ing to win",NA
Fri Jul 22 20:58:34 +0000 2016,when he says he's busy playing Pokemon Go and you're trying to get his attention https://t.co/e45vTzTbIY,NA
Fri Jul 22 20:58:35 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:35 +0000 2016,Pokemon go has got me so back into pokemon im watching it again XDDDD,NA
Fri Jul 22 20:58:35 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:35 +0000 2016,"RT @awkwardlylauren: People that only come to church to play Pokemon Go are called ""Pokemormons""
Thank you! I'll be here all week!",NA
Fri Jul 22 20:58:36 +0000 2016,Pokemon go could be fun if it worked for more than 10 minutes at a time,NA
Fri Jul 22 20:58:36 +0000 2016,RT @SavetheChildren: Syrian children use #PokemonGo in appeal to the world to save them ?? by @willafrej https://t.co/M2s8pXWppr via @TheWo?,NA
Fri Jul 22 20:58:37 +0000 2016,"RT @WrestlingRobbie: I'm already ""Pokemon Go""ing like a savage",NA
Fri Jul 22 20:58:37 +0000 2016,RT @Downey_FR: If Robert Downey Tiger was on Pokemon Go ?? @RobertDowneyJr https://t.co/Lgh3YQ6EXh,NA
Fri Jul 22 20:58:37 +0000 2016,It's official: Pokemon Go had the best opening week of any app ever https://t.co/WcPR2fXFZZ #Fallout,NA
Fri Jul 22 20:58:37 +0000 2016,"@MirandaMiller I literally walked 10km yesterday, because Pokemon go, and 9km today. I need help. 
mood: https://t.co/5S4ROURVih",NA
Fri Jul 22 20:58:38 +0000 2016,RT @TomsTruths: $AAPL doesn't have to innovate or be first all the time but it still prints $ #investing #trading #TomsTruths https://t.co/?,NA
Fri Jul 22 20:58:38 +0000 2016,RT @Savescreen: Pokemon GO fanart. Team Instinct. https://t.co/eXySCQnbet,NA
Fri Jul 22 20:58:38 +0000 2016,"RT @PokemonGoPlay: FREE GIVEAWAY - POKEMON GO PLUS! #PokemonGo

TO ENTER JUST:
1. FOLLOW
2. RETWEET

MUST SEE &gt; https://t.co/nsAGtUlQ3M htt?",NA
Fri Jul 22 20:58:39 +0000 2016,Staycation in Toronto. Science centre + Pokemon GO lure parties + Captains Boil. #blessed? https://t.co/fEbJVTldQw,NA
Fri Jul 22 20:58:39 +0000 2016,"Delightful, do you wanna a relaxing massage?.
 maybe you'll get lucky and we'll meet here   https://t.co/0z1dr4d0As https://t.co/tCDw865gtQ",NA
Fri Jul 22 20:58:39 +0000 2016,@jenimew @AndyK34 @lornalyonssmith @KerryCosplay @AdamBourne36 it was on our Pokemon go stream &gt;.&lt; will do another one soon.,NA
Fri Jul 22 20:58:40 +0000 2016,"RT @jonnysun: 1998: stop playing pokemon and go outside
2016: stop playing pokemon and come inside",NA
Fri Jul 22 20:58:40 +0000 2016,Apple: Pokemon Go Sets Record For Most Downloads In Its First Week https://t.co/B7RDMgwyuV,NA
Fri Jul 22 20:58:40 +0000 2016,2 'Pokemon Go' players robbed at gunpoint at Elk Grove park https://t.co/ML3D9NaDQj,NA
Fri Jul 22 20:58:40 +0000 2016,RT @curlyheadkenny: 47. played Pokemon go.,NA
Fri Jul 22 20:58:40 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:41 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:41 +0000 2016,I liked a @YouTube video from @itwe4kz https://t.co/K7VuF4811S POKEMON GO MAP HACK! - REVEAL ALL POKEMON ON THE MAP! No Jailbreak!,NA
Fri Jul 22 20:58:41 +0000 2016,?? madziap: I am playing Pokemon Go since they are out in Germany. I visited few most popular PokeStops... https://t.co/q3KZB9RyPu,NA
Fri Jul 22 20:58:41 +0000 2016,"Hey![Sugary, do you wanna play with me?.
I'm there-   https://t.co/lLvjFKkc45 https://t.co/eg0to9hLGJ",NA
Fri Jul 22 20:58:41 +0000 2016,RT @LitFreestyles: Desiigner playing Pokemon Go ?????? https://t.co/tVYGw8Huhu,NA
Fri Jul 22 20:58:41 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:42 +0000 2016,When Pokemon go gets real???? https://t.co/omnugYPrbg,NA
Fri Jul 22 20:58:42 +0000 2016,"RT @differentoceans: I translated this cute message left for Pokemon Go players at Miyazaki Shrine in Hiroshima, Japan! https://t.co/mX5cCs?",NA
Fri Jul 22 20:58:42 +0000 2016,Last night a Pokemon Go player got arrested in Tampa for being in a park after hours and pushing a cop ??,NA
Fri Jul 22 20:58:43 +0000 2016,Apple: Pokemon Go Sets Record For Most Downloads In Its First Week https://t.co/HBwkEMyhVe #CyberNews,NA
